Volume,Energy (eV)
343.0,-944.3761419198929
350.402625,-944.520004279913
357.91099999999994,-944.6439808151154
365.52587500000004,-944.7487749403957
373.24800000000005,-944.8315161243291
381.078125,-944.8999143111876
389.017,-944.9481142862651
397.06537499999996,-944.9837310260202
405.22400000000005,-945.0082748996513
413.493625,-945.0208207192878
421.875,-945.0220778863352
430.36887499999995,-945.0125073620441
438.97599999999994,-944.990231695323
447.6971250000001,-944.9643649390944
456.533,-944.9275672242342
465.484375,-944.8865053456907
474.55199999999996,-944.8362831548312
483.73662499999995,-944.7831697518767
493.03900000000004,-944.7245639983412
502.459875,-944.6609588288793
512.0,-944.59392298116
