#  E (eV)   dos(E)     Int dos(E) EFermi =    6.631 eV
   7.310  0.8134E+01  0.6218E+01
   7.320  0.6740E+01  0.6285E+01
   7.330  0.6981E+01  0.6355E+01
   7.340  0.3903E+01  0.6394E+01
   7.350  0.5375E+01  0.6448E+01
   7.360  0.9392E+01  0.6541E+01
   7.370  0.8840E+01  0.6630E+01
   7.380  0.8427E+01  0.6714E+01
   7.390  0.9110E+01  0.6805E+01
   7.400  0.6390E+01  0.6869E+01
   7.410  0.1036E+02  0.6973E+01
   7.420  0.1543E+02  0.7127E+01
   7.430  0.1642E+02  0.7291E+01
   7.440  0.1922E+02  0.7484E+01
   7.450  0.1721E+02  0.7656E+01
   7.460  0.4421E+01  0.7700E+01
   7.470  0.2391E+01  0.7724E+01
   7.480  0.3053E+01  0.7754E+01
   7.490  0.2519E+01  0.7779E+01
   7.500  0.2737E+01  0.7807E+01
   7.510  0.3388E+01  0.7841E+01
   7.520  0.2966E+01  0.7870E+01
   7.530  0.3314E+01  0.7903E+01
   7.540  0.2879E+01  0.7932E+01
   7.550  0.2400E+01  0.7956E+01
   7.560  0.2608E+01  0.7982E+01
   7.570  0.3810E+01  0.8020E+01
   7.580  0.2261E+01  0.8043E+01
   7.590  0.2433E+01  0.8067E+01
   7.600  0.5096E+01  0.8118E+01
   7.610  0.5187E+01  0.8170E+01
   7.620  0.3450E+01  0.8205E+01
   7.630  0.1179E+01  0.8216E+01
   7.640  0.5275E+00  0.8222E+01
   7.650  0.1239E+01  0.8234E+01
   7.660  0.5228E+00  0.8239E+01
   7.670  0.5929E+00  0.8245E+01
   7.680  0.2247E+01  0.8268E+01
   7.690  0.2431E+01  0.8292E+01
   7.700  0.1859E+01  0.8311E+01
   7.710  0.3113E+01  0.8342E+01
   7.720  0.2482E+01  0.8367E+01
   7.730  0.7398E+00  0.8374E+01
   7.740  0.1201E+01  0.8386E+01
   7.750  0.7718E+00  0.8394E+01
   7.760  0.9552E+00  0.8403E+01
   7.770  0.1494E+01  0.8418E+01
   7.780  0.1422E+01  0.8432E+01
   7.790  0.9646E+00  0.8442E+01
   7.800  0.2387E+01  0.8466E+01
   7.810  0.2308E+01  0.8489E+01
   7.820  0.1213E+01  0.8501E+01
   7.830  0.1927E+00  0.8503E+01
   7.840  0.2113E+00  0.8505E+01
   7.850  0.2161E+01  0.8527E+01
   7.860  0.3909E+01  0.8566E+01
   7.870  0.2083E+01  0.8587E+01
   7.880  0.4248E+00  0.8591E+01
   7.890  0.3734E+00  0.8595E+01
   7.900  0.1950E+01  0.8614E+01
   7.910  0.3469E+01  0.8649E+01
   7.920  0.2466E+01  0.8674E+01
   7.930  0.7342E+00  0.8681E+01
   7.940  0.1138E+01  0.8692E+01
   7.950  0.8771E+00  0.8701E+01
   7.960  0.9211E+00  0.8710E+01
   7.970  0.1085E+01  0.8721E+01
   7.980  0.5287E+00  0.8726E+01
   7.990  0.1734E+01  0.8744E+01
   8.000  0.3612E+01  0.8780E+01
   8.010  0.4634E+01  0.8826E+01
   8.020  0.3685E+01  0.8863E+01
   8.030  0.1277E+01  0.8876E+01
   8.040  0.8912E-01  0.8877E+01
   8.050  0.3599E-01  0.8877E+01
   8.060  0.5783E+00  0.8883E+01
   8.070  0.1631E+01  0.8899E+01
   8.080  0.2312E+01  0.8922E+01
   8.090  0.4248E+01  0.8965E+01
   8.100  0.4632E+01  0.9011E+01
   8.110  0.2879E+01  0.9040E+01
   8.120  0.1297E+01  0.9053E+01
   8.130  0.1421E+01  0.9067E+01
   8.140  0.2353E+01  0.9091E+01
   8.150  0.2449E+01  0.9115E+01
   8.160  0.5009E+01  0.9165E+01
   8.170  0.5296E+01  0.9218E+01
   8.180  0.5282E+01  0.9271E+01
   8.190  0.6775E+01  0.9339E+01
   8.200  0.5012E+01  0.9389E+01
   8.210  0.1446E+01  0.9403E+01
   8.220  0.9015E-01  0.9404E+01
   8.230  0.8998E-01  0.9405E+01
   8.240  0.8415E+00  0.9414E+01
   8.250  0.1077E+01  0.9424E+01
   8.260  0.2746E+00  0.9427E+01
   8.270  0.8443E+00  0.9436E+01
   8.280  0.1077E+01  0.9446E+01
   8.290  0.1877E+00  0.9448E+01
   8.300  0.7797E-01  0.9449E+01
   8.310  0.7804E+00  0.9457E+01
   8.320  0.1144E+01  0.9468E+01
   8.330  0.6902E+00  0.9475E+01
   8.340  0.1245E+01  0.9488E+01
   8.350  0.4471E+00  0.9492E+01
   8.360  0.2691E+00  0.9495E+01
   8.370  0.1188E+01  0.9507E+01
   8.380  0.1284E+01  0.9519E+01
   8.390  0.1297E+01  0.9532E+01
   8.400  0.6603E+00  0.9539E+01
   8.410  0.1512E+01  0.9554E+01
   8.420  0.2122E+01  0.9575E+01
   8.430  0.2514E+01  0.9600E+01
   8.440  0.2026E+01  0.9621E+01
   8.450  0.3209E+00  0.9624E+01
   8.460  0.7625E-02  0.9624E+01
   8.470  0.2603E-04  0.9624E+01
   8.480  0.1249E-07  0.9624E+01
   8.490  0.8280E-12  0.9624E+01
   8.500  0.7521E-17  0.9624E+01
   8.510  0.9306E-23  0.9624E+01
   8.520  0.1564E-29  0.9624E+01
   8.530  0.3563E-37  0.9624E+01
   8.540  0.1100E-45  0.9624E+01
   8.550  0.4596E-55  0.9624E+01
   8.560  0.2600E-65  0.9624E+01
   8.570  0.1991E-76  0.9624E+01
   8.580  0.4372E-83  0.9624E+01
   8.590  0.4372E-83  0.9624E+01
   8.600  0.4372E-83  0.9624E+01
   8.610  0.4372E-83  0.9624E+01
   8.620  0.4372E-83  0.9624E+01
   8.630  0.4372E-83  0.9624E+01
   8.640  0.4372E-83  0.9624E+01
